232,101,122,134,135,0,1,1,1,30,120,37,9,2,8,A
236,103,123,136,134,0,1,1,1,28,117,33,9,2,7,A
232,100,124,135,132,0,1,1,1,24,119,34,8,2,7,A
235,103,125,134,134,0,1,1,1,27,120,33,67,56,9,A
233,103,124,136,132,0,1,1,1,30,120,35,65,52,11,A
236,103,125,137,136,0,1,1,1,31,118,37,63,52,11,A
233,104,122,134,132,0,1,1,1,27,121,37,63,54,9,A
233,103,124,134,137,0,1,1,1,28,119,38,63,55,10,A
232,102,123,136,135,0,1,1,1,30,119,36,64,56,10,A
235,102,124,134,132,0,1,1,1,31,118,37,64,58,10,A
232,105,124,134,135,0,1,1,1,31,119,37,65,59,10,A
234,101,122,136,136,0,1,1,1,31,119,37,65,3,10,A
232,104,122,135,135,0,1,1,1,30,119,38,64,5,9,A
231,101,123,137,134,0,1,1,1,28,118,38,64,4,10,A
234,100,124,135,134,0,1,1,1,32,119,37,64,4,10,A
234,102,121,137,135,0,1,1,1,30,119,35,63,6,8,A
232,105,121,136,135,0,1,1,1,30,119,37,62,6,7,A
236,105,123,133,136,0,1,1,1,29,118,39,62,5,7,A
232,104,123,133,135,0,1,1,1,31,119,38,62,3,8,A
232,103,123,133,134,0,1,1,1,36,115,42,63,3,9,A
235,103,123,133,137,0,1,1,1,28,120,41,9,11,10,A
234,105,124,132,134,0,1,1,1,25,122,38,13,16,11,A
231,103,121,135,132,0,1,1,1,27,119,39,13,15,10,A
234,102,120,134,134,0,1,1,1,30,116,38,12,16,10,A
234,103,123,132,134,0,1,1,1,25,118,38,16,22,11,A
232,102,121,137,135,0,1,1,1,26,119,36,16,20,11,A
234,103,124,134,135,0,1,1,1,32,120,36,13,12,12,A
233,105,125,136,137,0,1,1,1,33,118,34,10,8,13,A
232,104,124,138,133,0,1,1,1,32,117,34,9,7,12,A
232,103,126,136,136,0,1,1,1,33,116,35,66,4,11,A
234,102,122,137,135,0,1,1,1,34,119,34,65,3,11,A
231,101,122,135,136,0,1,1,1,35,120,35,63,60,11,A
234,101,124,137,137,0,1,1,1,37,120,37,62,1,9,A
233,103,123,137,132,0,1,1,1,33,119,39,62,2,6,A
231,106,122,135,135,0,1,1,1,33,117,38,63,1,64,A
234,104,121,137,133,0,1,1,1,33,117,36,63,1,63,A
237,106,122,136,135,0,1,1,1,29,117,37,62,3,62,A
231,103,124,134,134,0,1,1,1,29,117,39,62,2,62,A
234,103,122,137,136,0,1,1,1,30,120,38,62,60,64,A
235,103,127,137,135,0,1,1,1,31,118,37,62,60,7,A
234,103,125,134,134,0,1,1,1,31,118,39,61,1,8,A
234,103,124,136,137,0,1,1,1,32,119,42,63,60,7,A
234,104,123,138,134,0,1,1,1,33,118,37,63,58,7,A
232,103,125,135,136,0,1,1,1,32,117,34,63,58,8,A
233,103,121,136,134,0,1,1,1,33,114,38,62,58,9,A
236,105,127,136,136,0,1,1,1,35,120,40,63,59,7,A
